dataset,algorithm,variant,metric,metric_group,n,mean,median,trimean,best_25,worst_25,max,min
cubepp,bright_pixels,top_5_percent,angular_error,single_illuminant_errors,4866,3.508891,2.162481,2.492628,0.538785,8.801803,39.090814,0.029273
cubepp,bright_pixels,top_5_percent,recovery_angular_error,single_illuminant_errors,4866,3.508891,2.162481,2.492628,0.538785,8.801803,39.090814,0.029273
cubepp,bright_pixels,top_5_percent,recovery_delta_e_2000,single_illuminant_errors,4866,3.405798,2.002562,2.316619,0.475166,8.775726,40.559999,0.022099
cubepp,bright_pixels,top_5_percent,reproduction_angular_error,single_illuminant_errors,4866,4.425533,2.808403,3.264021,0.704543,10.847739,32.064932,0.026483
cubepp,bright_pixels,top_5_percent,reproduction_delta_e_2000,single_illuminant_errors,4866,6.276998,4.587314,5.051154,1.358733,14.02046,27.434711,0.060003
cubepp,cheng,prc_0_5,angular_error,single_illuminant_errors,4866,4.127336,2.300824,2.703016,0.595931,10.805523,27.11682,0.0202
cubepp,cheng,prc_0_5,recovery_angular_error,single_illuminant_errors,4866,4.127336,2.300824,2.703016,0.595931,10.805523,27.11682,0.0202
cubepp,cheng,prc_0_5,recovery_delta_e_2000,single_illuminant_errors,4866,4.192889,2.07124,2.46755,0.532005,11.617062,24.834455,0.024781
cubepp,cheng,prc_0_5,reproduction_angular_error,single_illuminant_errors,4866,4.92789,3.016383,3.472379,0.762259,12.375895,30.0092,0.027149
cubepp,cheng,prc_0_5,reproduction_delta_e_2000,single_illuminant_errors,4866,7.429994,5.333565,5.919094,1.517357,16.829551,25.481237,0.082777
cubepp,fast_awb,default,angular_error,single_illuminant_errors,4866,3.661954,2.615464,2.915042,0.528968,8.44256,44.789286,0.034372
cubepp,fast_awb,default,recovery_angular_error,single_illuminant_errors,4866,3.661954,2.615464,2.915042,0.528968,8.44256,44.789286,0.034372
cubepp,fast_awb,default,recovery_delta_e_2000,single_illuminant_errors,4866,3.337999,2.387299,2.671933,0.473679,7.693535,44.64014,0.035703
cubepp,fast_awb,default,reproduction_angular_error,single_illuminant_errors,4866,4.791124,3.516757,3.900209,0.687781,10.883849,32.08972,0.032094
cubepp,fast_awb,default,reproduction_delta_e_2000,single_illuminant_errors,4866,6.408353,5.453947,5.71542,1.345929,13.093603,25.883373,0.111096
cubepp,gray_edge,first_order,angular_error,single_illuminant_errors,4866,5.828595,4.81031,5.058682,1.594887,11.786343,39.489232,0.012683
cubepp,gray_edge,first_order,recovery_angular_error,single_illuminant_errors,4866,5.828595,4.81031,5.058682,1.594887,11.786343,39.489232,0.012683
cubepp,gray_edge,first_order,recovery_delta_e_2000,single_illuminant_errors,4866,5.550982,4.116023,4.419183,1.360896,12.245679,52.21839,0.009129
cubepp,gray_edge,first_order,reproduction_angular_error,single_illuminant_errors,4866,7.237179,6.214773,6.478925,1.983365,14.185592,32.334349,0.014918
cubepp,gray_edge,first_order,reproduction_delta_e_2000,single_illuminant_errors,4866,10.622792,9.667054,10.004601,3.759811,19.091186,27.074824,0.031263
cubepp,gray_pixels,qian_gi,angular_error,single_illuminant_errors,4866,5.345553,3.900112,4.20061,0.880349,12.271664,43.977662,0.009106
cubepp,gray_pixels,qian_gi,recovery_angular_error,single_illuminant_errors,4866,5.345553,3.900112,4.20061,0.880349,12.271664,43.977662,0.009106
cubepp,gray_pixels,qian_gi,recovery_delta_e_2000,single_illuminant_errors,4866,5.153481,3.571819,3.827496,0.801881,12.311815,42.634598,0.007303
cubepp,gray_pixels,qian_gi,reproduction_angular_error,single_illuminant_errors,4866,6.779686,5.186737,5.580219,1.160265,15.00826,32.765663,0.012617
cubepp,gray_pixels,qian_gi,reproduction_delta_e_2000,single_illuminant_errors,4866,8.448544,7.054956,7.358939,2.020017,17.200838,27.345287,0.019306
cubepp,gray_pixels,yang,angular_error,single_illuminant_errors,4866,3.422678,2.485572,2.734475,0.560542,7.825741,38.8288,0.018827
cubepp,gray_pixels,yang,recovery_angular_error,single_illuminant_errors,4866,3.422678,2.485572,2.734475,0.560542,7.825741,38.8288,0.018827
cubepp,gray_pixels,yang,recovery_delta_e_2000,single_illuminant_errors,4866,3.166925,2.334517,2.554339,0.514859,7.223547,39.477176,0.012757
cubepp,gray_pixels,yang,reproduction_angular_error,single_illuminant_errors,4866,4.530512,3.398317,3.695324,0.719973,10.245031,30.723879,0.031473
cubepp,gray_pixels,yang,reproduction_delta_e_2000,single_illuminant_errors,4866,5.927003,4.963493,5.216716,1.376762,12.057493,24.729026,0.068508
cubepp,gray_world,naive,angular_error,single_illuminant_errors,4866,3.667929,2.622991,2.923429,0.559548,8.42577,44.780892,0.007818
cubepp,gray_world,naive,recovery_angular_error,single_illuminant_errors,4866,3.667929,2.622991,2.923429,0.559548,8.42577,44.780892,0.007818
cubepp,gray_world,naive,recovery_delta_e_2000,single_illuminant_errors,4866,3.342652,2.401634,2.680537,0.501375,7.678252,44.648007,0.007336
cubepp,gray_world,naive,reproduction_angular_error,single_illuminant_errors,4866,4.793928,3.549876,3.915881,0.718608,10.861708,31.897445,0.01066
cubepp,gray_world,naive,reproduction_delta_e_2000,single_illuminant_errors,4866,6.430138,5.483922,5.740383,1.437752,13.062423,25.852071,0.016178
cubepp,local_space_average_color,default,mean_angular_error,multi_illuminant_errors,4866,4.405539,3.748944,3.880948,1.195615,8.786981,44.036854,0.194967
